year,glacier,precip_mm,glacier_area_sqkm,mci
2009,Ritacuba Blanco,1342.035,0.412,0.1523346437
2010,Ritacuba Blanco,1665.763,0.412,0.1131545742
2011,Ritacuba Blanco,1717.029,0.412,0.08874556431
2012,Ritacuba Blanco,1510.99,0.412,0.03934519633
2013,Ritacuba Blanco,1184.7,0.412,0.1410053655
2014,Ritacuba Blanco,1093.866,0.412,0.08876310734
2015,Ritacuba Blanco,1194.334,0.412,0.1419439356
2016,Ritacuba Blanco,1268.459,0.362,0.1178422436
2017,Ritacuba Blanco,1731.048,0.37,0.07101733046
2018,Ritacuba Blanco,1531.778,0.37,0.05154950529
2019,Ritacuba Blanco,1443.219,0.363,0.06521912585
2021,Ritacuba Blanco,1474.733,0.356,0.06664680644
2022,Ritacuba Blanco,1605.03,0.348,0.05332415584
2005,Yanamarey,748.441,0.412,0.284195526
2006,Yanamarey,885.178,0.342,0.2076918308
2007,Yanamarey,910.039,0.359,0.2017772475
2008,Yanamarey,909.21,0.34,0.0741453329
2009,Yanamarey,964.47,0.362,0.1280157252
2010,Yanamarey,779.041,0.289,0.08413332596
2012,Yanamarey,868.983,0.258,0.139158272
2013,Yanamarey,839.663,0.27,0.1467316826
2014,Yanamarey,835.733,0.266,0.1545803203
2015,Yanamarey,785.116,0.263,0.1036102356
2016,Yanamarey,695.523,0.26,0.2342968628
2017,Yanamarey,911.592,0.254,0.1214904444
2018,Yanamarey,974.554,0.243,0.07811797261
2019,Yanamarey,964.782,0.234,0.1028190653